RestingMembranePotential,SpikeAmplitude,Species,Strain,ElectrodeType,PrepType,NeuronType,Title,PubYear,PubmedLink,DataTableLinks,ArticleLink,LastAuthor
-57.9,64,Rats,Wistar,Patch-clamp,in vitro,Abducens nucleus motor neuron,A- T- and H-type currents shape intrinsic firing of developing rat abducens motoneurons.,2003,http://www.ncbi.nlm.nih.gov/pubmed/12651919/,http://neuroelectro.org/data_table/11076/,http://neuroelectro.org/article/45731/,Debanne D
-61,92.1,Rats,Sprague-Dawley,Patch-clamp,in vitro,Amygdala basolateral nucleus pyramidal neuron,Distinct subtypes of cholecystokinin (CCK)-containing interneurons of the basolateral amygdala identified using a CCK promoter-specific lentivirus.,2009,http://www.ncbi.nlm.nih.gov/pubmed/19164102/,http://neuroelectro.org/data_table/242/,http://neuroelectro.org/article/26026/,Rainnie DG
-70,,Mice,C57BL,Patch-clamp,in vitro,Amygdala basolateral nucleus pyramidal neuron,Noradrenergic excitation of a subpopulation of GABAergic cells in the basolateral amygdala via both activation of nonselective cationic conductance and suppression of resting K+ conductance: a study using glutamate decarboxylase 67-green fluorescent protein knock-in mice.,2008,http://www.ncbi.nlm.nih.gov/pubmed/18950687/,http://neuroelectro.org/data_table/26660/,http://neuroelectro.org/article/30833/,Yanagawa Y
-73.7,61,Rats,Sprague-Dawley,Sharp,in vivo,Amygdala basolateral nucleus pyramidal neuron,Cellular mechanisms of infralimbic and prelimbic prefrontal cortical inhibition and dopaminergic modulation of basolateral amygdala neurons in vivo.,2002,http://www.ncbi.nlm.nih.gov/pubmed/11756516/,http://neuroelectro.org/data_table/2952/,http://neuroelectro.org/article/37269/,Grace AA
-63,,Rats,Wistar,Sharp,in vitro,Amygdala basolateral nucleus pyramidal neuron,Cholinergic responses of morphologically and electrophysiologically characterized neurons of the basolateral complex in rat amygdala slices.,1997,http://www.ncbi.nlm.nih.gov/pubmed/9153654/,http://neuroelectro.org/data_table/24186/,http://neuroelectro.org/article/82009/,Criado JM
-69.65,91.05,Rats,Sprague-Dawley,Patch-clamp,in vitro,Amygdala corticomedial nucleus pyramidal cell,Intrinsic subthreshold oscillations of the membrane potential in pyramidal neurons of the olfactory amygdala.,2005,http://www.ncbi.nlm.nih.gov/pubmed/16197502/,http://neuroelectro.org/data_table/16755/,http://neuroelectro.org/article/12070/,Bacigalupo J
,82.16,Mice,C57BL,Patch-clamp,in vitro,Amygdaloid nucleus paracapsular intercalated cell,Different fear states engage distinct networks within the intercalated cell clusters of the amygdala.,2011,http://www.ncbi.nlm.nih.gov/pubmed/21451049/,http://neuroelectro.org/data_table/1640/; http://neuroelectro.org/data_table/1642/,http://neuroelectro.org/article/35210/,Ferraguti F
-84.9,73.4,Mice,C57BL,Patch-clamp,in vitro,Amygdaloid nucleus paracapsular intercalated cell,Synaptic heterogeneity between mouse paracapsular intercalated neurons of the amygdala.,2007,http://www.ncbi.nlm.nih.gov/pubmed/17916608/,http://neuroelectro.org/data_table/10525/,http://neuroelectro.org/article/44296/,Capogna M
-48,66.7,Mice,C57BL,Patch-clamp,in vitro,Basalis nucleus cholinergic neuron,Selective optogenetic stimulation of cholinergic axons in neocortex.,2012,http://www.ncbi.nlm.nih.gov/pubmed/22236708/,http://neuroelectro.org/data_table/9107/,http://neuroelectro.org/article/52586/,Waters J
,77.8,Guinea Pigs,Guinea Pigs,Patch-clamp,in vitro,Basalis nucleus cholinergic neuron,Neurotensin depolarizes cholinergic and a subset of non-cholinergic septal/diagonal band neurons by stimulating neurotensin-1 receptors.,1999,http://www.ncbi.nlm.nih.gov/pubmed/10579568/,http://neuroelectro.org/data_table/23862/,http://neuroelectro.org/article/81617/,Matthews RT
-55.25,,Rats,Sprague-Dawley,Patch-clamp,in vitro,Basalis nucleus cholinergic neuron,Adenosine inhibits basal forebrain cholinergic and noncholinergic neurons in vitro.,2006,http://www.ncbi.nlm.nih.gov/pubmed/16542780/,http://neuroelectro.org/data_table/24817/,http://neuroelectro.org/article/82793/,McCarley RW
,,Rats,Sprague-Dawley,Patch-clamp,in vitro,BNST beaded neuron,Noradrenaline triggers GABAA inhibition of bed nucleus of the stria terminalis neurons projecting to the ventral tegmental area.,2004,http://www.ncbi.nlm.nih.gov/pubmed/15385602/,http://neuroelectro.org/data_table/2570/,http://neuroelectro.org/article/29000/,Williams JT
,,Rats,Sprague-Dawley,Sharp,in vivo,BNST common spiny neuron,Cannabinoid receptors in the bed nucleus of the stria terminalis control cortical excitation of midbrain dopamine cells in vivo.,2008,http://www.ncbi.nlm.nih.gov/pubmed/18923026/,http://neuroelectro.org/data_table/10856/,http://neuroelectro.org/article/57457/,Georges F
-68.58,,Rats,Sprague-Dawley,Sharp,in vitro,Cerebellar nucleus cell,Morphological correlates of intrinsic electrical excitability in neurons of the deep cerebellar nuclei.,2003,http://www.ncbi.nlm.nih.gov/pubmed/12686564/,http://neuroelectro.org/data_table/837/,http://neuroelectro.org/article/34395/,Linden DJ
,72.22,Rats,Sprague-Dawley,Patch-clamp,in vitro,Cerebellar nucleus cell,Two types of neurons in the rat cerebellar nuclei as distinguished by membrane potentials and intracellular fillings.,2001,http://www.ncbi.nlm.nih.gov/pubmed/11353018/,http://neuroelectro.org/data_table/999/,http://neuroelectro.org/article/34549/,Schwarz C
-43.57,,Mice,C57BL,Patch-clamp,in vitro,Cerebellar nucleus cell,Multiple types of cerebellar target neurons and their circuitry in the vestibulo-ocular reflex.,2011,http://www.ncbi.nlm.nih.gov/pubmed/21795530/,http://neuroelectro.org/data_table/1581/,http://neuroelectro.org/article/35119/,du Lac S
-67.9,,Rats,Wistar,Patch-clamp,in vitro,Cerebellum Golgi cell,Ionic mechanisms of autorhythmic firing in rat cerebellar Golgi cells.,2006,http://www.ncbi.nlm.nih.gov/pubmed/16690702/,http://neuroelectro.org/data_table/8271/,http://neuroelectro.org/article/26931/,D'Angelo E
,,Rats,Wistar,Patch-clamp,in vitro,Cerebellum Golgi cell,Long-term depression at parallel fiber to Golgi cell synapses.,2010,http://www.ncbi.nlm.nih.gov/pubmed/20861429/,http://neuroelectro.org/data_table/6557/,http://neuroelectro.org/article/48626/,De Schutter E
,,Rats,Wistar,Patch-clamp,in vitro,Cerebellum granule cell,Ionic mechanism of electroresponsiveness in cerebellar granule cells implicates the action of a persistent sodium current.,1998,http://www.ncbi.nlm.nih.gov/pubmed/9705445/,http://neuroelectro.org/data_table/1290/,http://neuroelectro.org/article/5497/,Taglietti V
-92.5,,Mice,C57BL,Patch-clamp,in vitro,Cerebellum granule cell,Persistent Nav1.6 current at axon initial segments tunes spike timing of cerebellar granule cells.,2010,http://www.ncbi.nlm.nih.gov/pubmed/20173079/,http://neuroelectro.org/data_table/7834/,http://neuroelectro.org/article/5731/,Delmas P
-69.4,,Mice,C57BL,Patch-clamp,in vitro,Cerebellum granule cell,Fibroblast growth factor homologous factors control neuronal excitability through modulation of voltage-gated sodium channels.,2007,http://www.ncbi.nlm.nih.gov/pubmed/17678857/,http://neuroelectro.org/data_table/21275/,http://neuroelectro.org/article/11498/,D'Angelo E
-60.7,,Mice,C57BL,Patch-clamp,in vitro,Cerebellum granule cell,Altered neuron excitability and synaptic plasticity in the cerebellar granular layer of juvenile prion protein knock-out mice with impaired motor control.,2008,http://www.ncbi.nlm.nih.gov/pubmed/18614678/,http://neuroelectro.org/data_table/2049/,http://neuroelectro.org/article/35862/,D'Angelo E
